286.712,2.1178,287.358,1.9608,287.278,1.76048,287.218,1.57372,287.24,1.319,287.379,0.959137,287.57,0.539597,287.709,0.130997,287.739,-0.174095,287.631,-0.337547,287.444,-0.44178,287.296,-0.619545,287.253,-0.909218,287.263,-1.26692,287.269,-1.64881,287.258,-1.97658
282.18,-4.13087,283.049,-4.46579,283.067,-4.78164,283.046,-5.05469,283.114,-5.33365,283.178,-5.59643,283.1,-5.90384,282.951,-6.34859,282.904,-6.76304,283.027,-6.99362,283.228,-7.11707,283.367,-7.22267,283.353,-7.3722,283.216,-7.66307,283.116,-8.07931,283.16,-8.45836
279.021,-18.3377,279.799,-18.7186,279.78,-19.0649,279.726,-19.375,279.659,-19.716,279.613,-20.1432,279.584,-20.5705,279.495,-20.8464,279.417,-20.9896,279.515,-21.1306,279.713,-21.3705,279.866,-21.655,279.931,-21.9072,279.905,-22.1439,279.812,-22.4006,279.726,-22.6291
278.696,5.69911,279.4,5.43862,279.444,5.08503,279.521,4.73026,279.568,4.42412,279.644,4.17429,279.795,3.91431,279.906,3.63783,279.889,3.39735,279.847,3.185,279.907,2.96386,280.082,2.72977,280.229,2.46577,280.224,2.1535,280.168,1.83504,280.208,1.59509
278.715,-15.6017,279.459,-15.9274,279.466,-16.0709,279.477,-16.1278,279.508,-16.2633,279.515,-16.5298,279.534,-16.8934,279.621,-17.288,279.742,-17.6192,279.881,-17.925,280.011,-18.2653,280.018,-18.5751,279.88,-18.7536,279.766,-18.8658,279.823,-19.0699,280.012,-19.3547
278.78,-4.41321,279.59,-4.84489,279.696,-5.30543,279.788,-5.76709,279.932,-6.08601,280.069,-6.18507,280.068,-6.22636,279.954,-6.33856,279.926,-6.55287,280.007,-6.91109,280.057,-7.3647,280.057,-7.69534,280.114,-7.87922,280.233,-8.11382,280.38,-8.46475,280.453,-8.7959
279.15,-8.58176,279.919,-8.94827,279.901,-9.27134,279.884,-9.57855,279.933,-9.8403,280.072,-10.0921,280.205,-10.3796,280.314,-10.6676,280.429,-10.9115,280.482,-11.1788,280.432,-11.469,280.371,-11.7489,280.416,-12.0169,280.494,-12.2202,280.536,-12.3617,280.606,-12.5401
278.597,-13.3327,279.303,-13.6336,279.404,-13.9401,279.494,-14.1972,279.488,-14.3971,279.411,-14.6114,279.32,-14.8395,279.272,-15.0981,279.338,-15.3832,279.48,-15.6543,279.562,-15.9511,279.565,-16.2777,279.592,-16.5433,279.698,-16.7834,279.806,-17.0512,279.823,-17.3003
277.438,1.86463,278.241,1.54569,278.319,1.23748,278.358,1.00499,278.435,0.796432,278.527,0.516998,278.57,0.219604,278.609,-0.02034,278.651,-0.241371,278.653,-0.532906,278.68,-0.84198,278.758,-1.08875,278.804,-1.33867,278.784,-1.59589,278.746,-1.79151,278.683,-2.02795
275.81,-6.09499,276.692,-6.2422,276.819,-6.4837,276.841,-6.82099,276.832,-7.22203,276.86,-7.66153,276.89,-8.07464,276.88,-8.40986,276.833,-8.69608,276.815,-8.93966,276.835,-9.14439,276.872,-9.33649,276.923,-9.4893,276.98,-9.62441,277.031,-9.88744,277.056,-10.2387
274.702,-3.13663,275.372,-3.39378,275.392,-3.77018,275.46,-4.14662,275.49,-4.4368,275.505,-4.67937,275.571,-4.9847,275.642,-5.36024,275.676,-5.70477,275.786,-5.94832,275.987,-6.10775,276.09,-6.25439,276.003,-6.48288,275.852,-6.78761,275.782,-7.09136,275.825,-7.33475
273.548,-3.89341,274.253,-4.18464,274.199,-4.4587,274.147,-4.71384,274.218,-4.98134,274.445,-5.28345,274.674,-5.60267,274.779,-5.89462,274.82,-6.14419,274.836,-6.38895,274.801,-6.66748,274.732,-6.94267,274.68,-7.15435,274.709,-7.35759,274.794,-7.63976,274.824,-7.96593
273.113,-8.02058,273.784,-8.28736,273.743,-8.49445,273.782,-8.79368,273.9,-9.17235,273.975,-9.44855,273.862,-9.55984,273.675,-9.66406,273.656,-9.83653,273.784,-10.0877,273.879,-10.4659,273.911,-10.8833,273.964,-11.1867,274.081,-11.3788,274.17,-11.5976,274.141,-11.8893
272.429,-3.62253,273.153,-3.9108,273.121,-4.2319,273.16,-4.52585,273.327,-4.77105,273.435,-5.0568,273.388,-5.43523,273.31,-5.79137,273.293,-6.00859,273.338,-6.16412,273.461,-6.36399,273.631,-6.57444,273.732,-6.76018,273.699,-6.97944,273.641,-7.28078,273.711,-7.61285
271.601,-6.80936,272.549,-7.17278,272.63,-7.48753,272.607,-7.72549,272.595,-7.9483,272.604,-8.20107,272.651,-8.46591,272.75,-8.7066,272.821,-9.01538,272.838,-9.39269,272.872,-9.66831,272.925,-9.8,272.922,-9.97569,272.904,-10.232,272.955,-10.4463,273.004,-10.6667
271.206,-4.5083,271.942,-4.73267,271.999,-5.03949,272.04,-5.4173,271.963,-5.79054,271.825,-6.12796,271.83,-6.44403,271.999,-6.74232,272.19,-6.96472,272.355,-7.11863,272.498,-7.30715,272.54,-7.57165,272.48,-7.84537,272.388,-8.01513,272.348,-8.09837,272.463,-8.25007
270.262,-2.39456,270.921,-2.63828,270.944,-2.94921,271.048,-3.30791,271.221,-3.62237,271.373,-3.87397,271.397,-4.12035,271.326,-4.37099,271.264,-4.63287,271.264,-4.99426,271.327,-5.33962,271.404,-5.50996,271.431,-5.6601,271.432,-5.92928,271.463,-6.18034,271.507,-6.32315
