0.035,5.78479,0.858735
0.07,6.56416,0.0355139
0.105,5.26294,0.0465639
0.14,4.91657,-0.084768
0.175,4.43865,0.0517252
0.21,4.28227,-0.0254555
0.245,3.94844,-0.0261884
0.28,3.9192,-0.039758
0.315,3.39692,-0.0666436
0.35,3.23942,0.0758157
0.385,3.14186,0.0220475
0.42,2.95912,-0.0180586
0.455,3.00714,-0.106072
0.49,2.8869,0.0733885
0.525,2.48914,-0.0023635
0.56,2.44896,-0.21334
0.595,2.12643,-0.0706622
0.63,1.98757,-0.0646288
0.665,1.99625,-0.118758
0.7,2.00944,0.0361411
0.735,1.9435,0.0316713
0.77,1.66188,-0.0312714
0.805,1.76631,0.00515139
0.84,1.6356,0.0725171
0.875,1.58217,-0.10114
0.91,1.55354,-0.118553
0.945,1.60065,0.0502472
0.98,1.53722,0.0225692
1.015,1.5109,0.0347471
1.05,1.44121,-0.09497
1.085,1.29346,-0.00365926
1.12,1.31613,0.0593587
1.155,1.13005,0.197052
1.19,1.37835,-0.122528
1.225,0.997821,-0.00549161
1.26,1.25578,0.0441247
1.295,1.11303,0.0477818
1.33,0.956904,-0.0457582
1.365,1.12468,0.107591
1.4,1.01844,-0.0125156
1.435,0.913576,0.0391916
1.47,0.743749,0.0226135
1.505,1.02981,-0.0958924
1.54,0.867445,0.0464844
1.575,0.733388,0.00485372
1.61,0.920221,0.141524
1.645,0.784438,0.0449208
1.68,0.846559,0.173698
1.715,0.677657,0.0120575
1.75,0.738126,0.143032
1.785,0.739091,0.190896
1.82,0.765519,-0.00833326
1.855,0.752564,0.0603482
1.89,0.643395,-0.161285
1.925,0.555552,0.27646
1.96,0.673772,-0.0812224
1.995,0.440067,-0.0440573
2.03,0.746814,0.171599
2.065,0.595432,-0.0768693
2.1,0.496525,0.105427
2.135,0.487337,0.0726865
2.17,0.567146,0.0194903
2.205,0.588997,-0.0868086
2.24,0.409305,-0.00871671
2.275,0.502754,0.0629738
2.31,0.419875,0.0783682
2.345,0.466688,0.0689513
2.38,0.247972,0.0192831
2.415,0.430171,0.150905
2.45,0.434539,-0.229881
2.485,0.430424,0.116894
2.52,0.368599,0.00620864
2.555,0.358999,0.0851903
2.59,0.512088,0.0110769
2.625,0.315138,0.1148
2.66,0.490434,-0.0804248
2.695,0.598843,0.033243
2.73,0.322906,0.0538044
2.765,0.470391,-0.057851
2.8,0.429888,0.0411138
2.835,0.352292,-0.00786892
2.87,0.319486,-0.0276497
2.905,0.293409,0.00217411
2.94,0.326439,-0.107802
2.975,0.227557,0.0495191
3.01,0.182002,-0.0293792
3.045,0.264474,0.0938679
3.08,0.154925,-0.0142603
3.115,0.354249,0.00681726
3.15,0.203401,0.0786374
3.185,0.298163,0.0264183
3.22,0.302792,-0.0357359
3.255,0.34215,0.106764
3.29,0.308118,0.183734
3.325,0.206017,0.158625
3.36,0.0947159,0.079567
3.395,0.253175,0.094178
3.43,0.20418,-0.0473408
3.465,0.442155,-0.0314165
3.5,0.235091,0.157662
