0,2.4739e-005,1.99622e-007
0.999756,4.43507e-006,-1.09972e-005
1.99951,-1.08974e-005,-1.68046e-005
2.99927,-2.32669e-005,-1.69044e-005
3.99902,-3.70087e-005,-1.2669e-005
4.99878,-4.17619e-005,-3.68031e-006
5.99854,-2.64295e-005,2.12707e-006
6.99829,-2.64482e-006,-3.69901e-006
7.99805,9.18826e-006,-1.99858e-005
8.9978,5.27094e-006,-3.17191e-005
9.99756,4.21675e-006,-2.53753e-005
10.9973,3.06275e-006,-6.66195e-006
11.9971,-9.9811e-008,1.23695e-005
12.9968,-5.80738e-006,1.53325e-005
13.9966,-8.35239e-006,-7.36062e-007
14.9963,-7.61633e-006,-9.08845e-006
15.9961,-7.71614e-006,3.28107e-006
16.9958,-9.50639e-006,1.79773e-005
17.9956,-2.10838e-006,1.26876e-005
18.9954,1.24693e-005,-1.22697e-005
19.9951,2.3348e-005,-3.45822e-005
20.9949,2.07032e-005,-3.82813e-005
21.9946,5.90719e-006,-2.7702e-005
22.9944,-1.32241e-005,-1.8495e-005
23.9941,-2.09402e-005,-1.5214e-005
24.9939,-1.12155e-005,-1.88132e-005
25.9937,5.17748e-007,-2.27305e-005
26.9934,2.84444e-006,-2.104e-005
27.9932,6.76176e-006,-9.30677e-006
28.9929,2.73839e-005,3.89863e-006
29.9927,4.64153e-005,7.06119e-006
30.9924,4.37705e-005,3.36219e-006
31.9922,2.41028e-005,-3.81751e-006
32.9919,1.27875e-005,-1.02611e-005
33.9917,1.94494e-005,-7.19839e-006
34.9915,2.81199e-005,-4.45376e-006
35.9912,2.25122e-005,-1.38603e-005
36.991,9.50639e-006,-1.79773e-005
37.9907,1.05419e-006,-6.34382e-006
38.9905,5.28963e-006,7.39801e-006
39.9902,5.92589e-006,1.14151e-005
40.99,2.96294e-006,5.70757e-006
41.9897,-2.00857e-006,3.18126e-007
42.9895,3.18126e-007,2.00857e-006
43.9893,3.28107e-006,7.71614e-006
44.989,-4.17937e-007,1.0361e-005
45.9888,-9.82451e-006,1.59687e-005
46.9885,-6.12551e-006,1.33239e-005
47.9883,2.64482e-006,3.69901e-006
48.988,5.38945e-006,-4.97151e-006
49.9878,-1.2725e-006,-8.03426e-006
50.9875,4.43507e-006,-1.09972e-005
51.9873,2.15578e-005,-1.9886e-005
52.9871,3.12825e-005,-2.34852e-005
53.9868,2.31484e-005,-9.84321e-006
54.9866,7.61633e-006,9.08845e-006
55.9863,7.51651e-006,2.1458e-005
56.9861,1.6187e-005,2.42026e-005
57.9858,2.32669e-005,1.69044e-005
58.9856,2.04038e-005,-1.17269e-006
59.9853,1.68046e-005,-1.08974e-005
60.9851,1.17333e-005,-3.91732e-006
61.9849,1.76592e-005,7.49782e-006
62.9846,3.17191e-005,5.27094e-006
63.9844,4.41884e-005,-6.99877e-006
64.9841,4.29159e-005,-1.5033e-005
65.9839,2.48388e-005,-1.21699e-005
66.9836,3.38088e-006,-4.65338e-006
67.9834,-6.0257e-006,9.54377e-007
68.9832,-1.63866e-005,5.36441e-007
69.9829,-2.87562e-005,4.36629e-007
70.9827,-2.24123e-005,1.49082e-006
71.9824,-8.67051e-006,-2.74463e-006
72.9822,-3.59919e-006,-9.7247e-006
73.9819,-1.2906e-005,-1.64865e-005
74.9817,-2.05223e-005,-2.55749e-005
75.9814,-1.2488e-005,-2.68474e-005
76.9812,2.52631e-006,-2.30486e-005
77.9809,2.4265e-006,-1.06791e-005
78.9807,-1.23695e-005,-9.9811e-008
79.9805,-1.54323e-005,6.56214e-006
80.9802,-8.4522e-006,1.16335e-005
81.98,-8.55201e-006,2.4003e-005
82.9797,-8.96995e-006,3.43639e-005
83.9795,3.7177e-006,3.64723e-005
84.9792,2.85565e-005,2.43024e-005
85.979,3.37277e-005,4.95282e-006
86.9788,1.04608e-005,-1.19516e-005
87.9785,-1.02611e-005,-1.27875e-005
88.9783,-2.64482e-006,-3.69901e-006
89.978,1.43781e-005,-2.18315e-007
90.9778,1.17333e-005,-3.91732e-006
91.9775,-1.2725e-006,-8.03426e-006
92.9773,-1.16335e-005,-8.4522e-006
93.9771,-1.13153e-005,-6.44363e-006
94.9768,7.36062e-007,-8.35239e-006
95.9766,1.78588e-005,-1.72412e-005
96.9763,3.09644e-005,-2.54938e-005
97.9761,3.03281e-005,-2.95109e-005
98.9758,1.55321e-005,-1.89317e-005
99.9756,-2.00857e-006,3.18126e-007
100.975,-1.1515e-005,1.82954e-005
101.975,-1.56319e-005,3.13012e-005
102.975,-3.26548e-005,2.78205e-005
103.975,-4.78874e-005,9.64358e-006
104.974,-4.64153e-005,-7.06119e-006
105.974,-2.66478e-005,-1.2251e-005
106.974,-1.25878e-005,-1.44779e-005
