50,1.72059
100,1.66634
150,1.21489
200,1.14209
250,0.885939
300,0.903871
350,0.776767
400,0.704742
450,0.595367
500,0.569534
550,0.517669
600,0.489298
650,0.488172
700,0.48977
750,0.404174
800,0.448699
850,0.329324
900,0.339633
950,0.266051
1000,0.229265
1050,0.271755
1100,0.256721
1150,0.203223
1200,0.210685
1250,0.196695
1300,0.301395
1350,0.170565
1400,0.160929
1450,0.213095
1500,0.220572
1550,0.18996
1600,0.113964
1650,0.194329
1700,0.198723
1750,0.155146
1800,0.127461
1850,0.111584
1900,0.177994
1950,0.0473114
2000,0.141678
2050,0.062447
2100,0.0960926
2150,0.0594584
2200,0.0968672
2250,0.0850322
2300,0.0853598
2350,0.0354925
2400,0.142358
2450,0.0534669
2500,-0.0206389
2550,0.0486092
2600,0.115013
2650,0.0595699
2700,0.0533175
2750,0.0889661
2800,0.0532831
2850,0.0581161
2900,0.113852
2950,0.151196
3000,0.00321382
3050,0.074274
3100,-0.0023903
3150,0.0625974
3200,0.0745808
