-0.278796,-0.307771,-0.202032,-0.31592,-0.144267,-0.260559,-0.151669,-0.219388,-0.185113,-0.184001,-0.172327,-0.109907,-0.0531989,-0.0183472,0.197444,0.0330633,0.536437,0.0442443,0.93299,0.0973094,1.45873,0.246966,2.16218,0.426431,2.97254,0.553744,3.78148,0.637909,4.48418,0.703589,4.97887,0.722872,5.21469,0.66805,5.21809,0.566641,5.03937,0.466086,4.67207,0.381714,4.08394,0.308445,3.32854,0.250233,2.54894,0.21232,1.86848,0.168538,1.31855,0.102565,0.875744,0.0625429,0.528248,0.0636586,0.269757,0.0431079,0.0741858,-0.0138782,-0.071428,-0.0512788,-0.132897,-0.0283557,-0.0948787,0.0534295
-0.141761,0.0102636,-0.212364,-0.0520821,-0.249564,-0.130285,-0.238065,-0.17893,-0.214242,-0.194461,-0.215745,-0.225183,-0.205658,-0.313279,-0.107097,-0.413621,0.143202,-0.456031,0.601253,-0.442369,1.29624,-0.42019,2.18901,-0.395907,3.171,-0.319557,4.10438,-0.172461,4.85947,-0.0235292,5.35085,0.0396847,5.56868,0.0150332,5.54365,-0.0189368,5.27111,-0.0145797,4.73468,-0.00794339,4.00361,-0.048689,3.19262,-0.125188,2.38241,-0.190172,1.65651,-0.224894,1.07287,-0.221994,0.598398,-0.146585,0.19632,0.00294106,-0.106208,0.141384,-0.275055,0.195233,-0.301651,0.194758,-0.221317,0.19149,-0.124554,0.198402
0.089496,0.250435,0.0264109,0.139654,-0.0766573,0.00987809,-0.196774,-0.0695229,-0.296686,-0.091798,-0.370737,-0.102073,-0.427278,-0.162454,-0.426867,-0.281969,-0.296027,-0.399559,0.0344382,-0.458392,0.597246,-0.434292,1.36541,-0.327623,2.24787,-0.202646,3.10707,-0.166114,3.82427,-0.229168,4.32762,-0.276516,4.58383,-0.241384,4.59047,-0.171054,4.32122,-0.101458,3.77289,-0.0433017,3.06911,-0.0166488,2.34831,0.00130159,1.64249,0.0488641,0.986074,0.127622,0.47151,0.22385,0.128593,0.303982,-0.0883448,0.340068,-0.186326,0.358295,-0.157402,0.37012,-0.0820483,0.336624,-0.0439379,0.265478,-0.00868871,0.221371
-0.173167,-0.117387,-0.116307,-0.0492422,-0.0754144,0.0689605,-0.0598929,0.188208,-0.0962522,0.257488,-0.180246,0.263577,-0.256534,0.213082,-0.272927,0.143115,-0.159853,0.0879572,0.182244,0.0443069,0.751441,0.0178633,1.42406,0.0291062,2.11321,0.075519,2.81215,0.12993,3.47392,0.151586,3.94498,0.123582,4.10644,0.0669564,4.01969,0.0101054,3.79511,-0.0183108,3.40849,0.000335813,2.79996,0.0512813,2.06307,0.0943417,1.37734,0.0967879,0.826289,0.0603734,0.422668,0.0287092,0.183265,0.070267,0.0689823,0.195142,-0.000634864,0.296958,-0.0399972,0.278403,-0.00807931,0.192742,0.0768121,0.139792,0.136198,0.11395
-0.221618,-0.179389,-0.222287,-0.232152,-0.215604,-0.318585,-0.250611,-0.379658,-0.316025,-0.413521,-0.358398,-0.473,-0.363636,-0.504124,-0.298621,-0.426554,-0.0867208,-0.264567,0.270942,-0.0764421,0.702452,0.0681286,1.19865,0.109306,1.77323,0.0646616,2.35526,-0.0116649,2.85141,-0.0722061,3.22446,-0.0799379,3.44684,-0.04971,3.44806,-0.0348766,3.18635,-0.0521295,2.74444,-0.0734608,2.24991,-0.0608347,1.74918,-0.00266212,1.24169,0.0544362,0.757072,0.0790863,0.35595,0.112998,0.07909,0.173272,-0.0865927,0.211276,-0.164966,0.211816,-0.180442,0.221848,-0.180909,0.268778,-0.178829,0.327488,-0.159659,0.353996
0.0103901,0.393675,-0.0926765,0.323938,-0.162598,0.160277,-0.215201,-0.0118159,-0.256799,-0.119175,-0.277769,-0.152997,-0.274611,-0.128109,-0.25296,-0.0760255,-0.17889,-0.0577979,0.0519071,-0.0884291,0.509765,-0.12246,1.12735,-0.141019,1.76164,-0.153343,2.31347,-0.152233,2.7678,-0.134099,3.12669,-0.114905,3.34643,-0.0990405,3.37374,-0.0643996,3.17386,-0.00244296,2.74097,0.0586888,2.1433,0.0961709,1.50907,0.105364,0.965118,0.0672221,0.591412,-0.00784767,0.372089,-0.057751,0.22531,-0.0687797,0.119769,-0.0793763,0.0704281,-0.0751373,0.0621315,-0.0143082,0.0788613,0.0804188,0.106481,0.148662,0.0873804,0.181619
-0.342604,-0.207457,-0.277099,-0.192249,-0.18961,-0.160524,-0.174076,-0.176838,-0.229677,-0.246507,-0.262293,-0.313843,-0.204415,-0.345329,-0.0897515,-0.344895,0.044535,-0.309502,0.243362,-0.250123,0.565969,-0.209422,1.02253,-0.202711,1.5811,-0.204352,2.16448,-0.190942,2.65836,-0.154218,2.97696,-0.100215,3.10389,-0.0412945,3.03456,0.00437075,2.75015,0.0214598,2.29133,0.0482342,1.75941,0.149349,1.25296,0.307749,0.83359,0.418802,0.488439,0.412184,0.1884,0.334092,-0.0301931,0.269154,-0.123134,0.246207,-0.0961121,0.262569,-0.0260584,0.281187,-0.0110573,0.234251,-0.032662,0.136605,-0.0147479,0.0665137
0.00376165,0.176852,0.0673793,0.195743,0.00804479,0.216209,-0.10521,0.171823,-0.163278,0.0684468,-0.140749,-0.0237942,-0.0725931,-0.0672396,0.0224532,-0.0844385,0.160026,-0.0934134,0.359769,-0.0932265,0.642394,-0.104524,1.04248,-0.141348,1.54601,-0.178398,2.03496,-0.188088,2.39273,-0.168282,2.59865,-0.145901,2.64994,-0.150413,2.52752,-0.17229,2.25679,-0.183164,1.8869,-0.16042,1.46339,-0.0872959,1.04537,0.00973654,0.688615,0.0793616,0.427287,0.123107,0.252444,0.151623,0.109261,0.128637,-0.0251889,0.0575874,-0.120691,0.00254865,-0.179223,-0.0103954,-0.228945,0.0021437,-0.275882,0.0375644,-0.322676,0.0803337
-0.312473,0.141586,-0.272925,0.0412449,-0.193781,-0.0593399,-0.13508,-0.125184,-0.126075,-0.153139,-0.151636,-0.132326,-0.162122,-0.0816574,-0.102022,-0.0563445,0.0345021,-0.0939134,0.230174,-0.176803,0.50878,-0.251639,0.893223,-0.274166,1.3609,-0.238193,1.83949,-0.174836,2.21313,-0.113891,2.39616,-0.063841,2.38667,-0.027406,2.22804,0.0101201,1.98809,0.0699702,1.72968,0.140673,1.43605,0.18892,1.05556,0.203923,0.635375,0.221431,0.286859,0.275812,0.0599476,0.338058,-0.0572789,0.359629,-0.0936538,0.335767,-0.0902015,0.286036,-0.0884896,0.216531,-0.110815,0.121252,-0.151716,0.0194638,-0.182602,-0.0525366
-0.0301002,-0.176503,-0.0851356,-0.204849,-0.109245,-0.181894,-0.104113,-0.122885,-0.0972623,-0.0792346,-0.0958409,-0.0966941,-0.070861,-0.129532,-0.000780141,-0.0890232,0.11287,0.00331171,0.282107,0.0335876,0.531728,-0.0304006,0.872344,-0.104694,1.30664,-0.131199,1.81345,-0.132774,2.25401,-0.121308,2.44069,-0.0753923,2.36344,-0.0264283,2.15838,-0.0169845,1.89987,0.00359893,1.5809,0.0743505,1.21763,0.13499,0.864863,0.141767,0.556823,0.103386,0.300875,0.027082,0.0954894,-0.0561186,-0.0865623,-0.0665493,-0.254133,0.0321696,-0.3548,0.145978,-0.362976,0.177113,-0.325272,0.157928,-0.267738,0.142199,-0.182204,0.114537
