0,-0.210867,-0.327217
0.5,-0.12046,-0.726942
1,0.0420098,-0.652068
1.5,-0.0038967,-0.52038
2,-0.145833,-0.447161
2.5,-0.202914,-0.429421
3,-0.188056,-0.438958
3.5,-0.158555,-0.413052
4,-0.14626,-0.370579
4.5,-0.147951,-0.383515
5,-0.132346,-0.432446
5.5,-0.0977737,-0.436592
6,-0.0691088,-0.398853
6.5,-0.0609951,-0.379654
7,-0.0657281,-0.374476
7.5,-0.0572052,-0.332591
8,-0.0256756,-0.25398
8.5,0.0110852,-0.203804
9,0.0221348,-0.222041
9.5,0.000551611,-0.260849
10,-0.0208181,-0.263019
10.5,-0.0430774,-0.255635
11,-0.0912436,-0.289567
11.5,-0.133431,-0.336025
12,-0.136047,-0.336238
12.5,-0.114108,-0.298801
13,-0.0874537,-0.256703
13.5,-0.0626144,-0.203928
14,-0.0373479,-0.135584
14.5,-0.0191811,-0.0857277
15,-0.0109072,-0.079589
15.5,0.0113343,-0.0871156
